lambda,mu,servers,capacity,simulation_time,warmup_time,arrivals,departures,dropped,avg_n_system,avg_n_queue,avg_wait_queue,avg_response_time,throughput,utilization,drop_probability,scenario,replication
6.0,8.0,1,-1,5000.0,500.0,26976,26981,0,2.931780278717624,2.180304396377293,0.36367285057068127,1.4890070499769061,5.995777777777778,0.7514758823403686,0.0,MM1,1
6.0,8.0,1,-1,5000.0,500.0,27072,27072,0,3.226802529698707,2.4719468933638646,0.41089542775330035,1.5363701013461852,6.016,0.7548556363348253,0.0,MM1,2
6.0,8.0,1,-1,5000.0,500.0,26744,26750,0,2.908296065738586,2.1644658442549747,0.36446347692357844,1.4895884598171414,5.944444444444445,0.7438302214836248,0.0,MM1,3
6.0,8.0,1,-1,5000.0,500.0,26888,26890,0,2.9854664536679913,2.2341013885804744,0.37388645192881786,1.4996311152441995,5.975555555555555,0.7513650650875165,0.0,MM1,4
6.0,8.0,1,-1,5000.0,500.0,27166,27166,0,3.2401080761941006,2.480465046586646,0.41088466132812146,1.5367181897545932,6.036888888888889,0.7596430296075147,0.0,MM1,5
6.0,8.0,1,-1,5000.0,500.0,26829,26831,0,3.0087378112189787,2.2583845522835384,0.37876924788409144,1.5046196313461686,5.962444444444444,0.7503532589354628,0.0,MM1,6
6.0,8.0,1,-1,5000.0,500.0,27099,27099,0,3.2253093198586495,2.473897845418396,0.41081000422092434,1.5355877316271593,6.022,0.7514114744402294,0.0,MM1,7
6.0,8.0,1,-1,5000.0,500.0,26709,26709,0,3.024409350817147,2.2798615683376737,0.384116854151015,1.509560151210352,5.935333333333333,0.7445477824795028,0.0,MM1,8
6.0,8.0,1,-1,5000.0,500.0,26842,26844,0,2.9189201374650238,2.173634369068813,0.3644209357160461,1.4893527182233426,5.965333333333334,0.7452857683962127,0.0,MM1,9
8.0,8.0,1,-1,5000.0,500.0,35762,35824,0,90.91996535107216,89.93134140991052,11.317806691311356,12.441993008932851,7.9608888888888885,0.9886239411609196,0.0,MM1,0
8.0,8.0,1,-1,5000.0,500.0,35714,35702,0,76.81147092188905,75.8197641915241,9.55613151758162,10.681131918018513,7.933777777777777,0.991706730366241,0.0,MM1,1
8.0,8.0,1,-1,5000.0,500.0,35847,35732,0,112.81456534443767,111.82372982200721,14.043880154526518,15.168647602706432,7.940444444444444,0.9908355224298391,0.0,MM1,2
8.0,8.0,1,-1,5000.0,500.0,35764,35689,0,155.23825036468244,154.23833599886447,19.41947003706711,20.545550260532853,7.930888888888889,0.9999143658174143,0.0,MM1,3
8.0,8.0,1,-1,5000.0,500.0,36138,35704,0,334.2608819289531,333.260881928947,41.49211724802375,42.6181581835348,7.934222222222222,1.0,0.0,MM1,4
8.0,8.0,1,-1,5000.0,500.0,36079,35928,0,152.4846640305578,151.49278703195742,18.914990848223837,20.039215531745576,7.984,0.9918769986004707,0.0,MM1,5
8.0,8.0,1,-1,5000.0,500.0,36287,36100,0,142.56234735425608,141.56350275028433,17.512222400378956,18.636733959095224,8.022222222222222,0.9988446039735851,0.0,MM1,6
8.0,8.0,1,-1,5000.0,500.0,36014,36130,0,108.16459213261511,107.17001345962153,13.374453680967518,14.49833228123072,8.028888888888888,0.9945786729962381,0.0,MM1,7
8.0,8.0,1,-1,5000.0,500.0,36018,35945,0,133.64869224986109,132.64877858958243,16.587648941618866,17.712829422616828,7.987777777777778,0.999913660279306,0.0,MM1,8
8.0,8.0,1,-1,5000.0,500.0,35786,35870,0,123.46574453873606,122.47159294451768,15.389631380453759,16.514350408497858,7.971111111111111,0.9941515942164801,0.0,MM1,9
12.0,8.0,1,-1,5000.0,500.0,53829,35559,0,11017.963275106216,11016.963275106265,920.700857294571,921.8274063767327,7.902,1.0,0.0,MM1,0
