lambda,num_clients,mu,servers,capacity,simulation_time,warmup_time,arrivals,departures,dropped,avg_n_system,avg_n_queue,avg_wait_queue,avg_response_time,throughput,utilization,drop_probability,scenario,replication
4.0,1,8.0,1,-1,5000.0,500.0,17904,17909,0,0.9795897171320896,0.48341493768690663,0.12157650318372805,1.246261228892167,3.9797777777777776,0.49617477944518296,0.0,MM1,77
4.0,1,8.0,1,-1,5000.0,500.0,17743,17744,0,0.9667752967906531,0.47105852721480734,0.11946368218883435,1.2451851658753343,3.943111111111111,0.4957167695758458,0.0,MM1,78
4.0,1,8.0,1,-1,5000.0,500.0,17848,17852,0,0.9777625722245876,0.47816637564132525,0.12068941877347987,1.246632004897358,3.967111111111111,0.4995961965832624,0.0,MM1,79
4.0,1,8.0,1,-1,5000.0,500.0,17887,17885,0,0.994927902244221,0.5033396702840257,0.12662221797926562,1.2503084320806446,3.9744444444444444,0.4915882319601953,0.0,MM1,80
4.0,1,8.0,1,-1,5000.0,500.0,17967,17971,0,0.9809916166035729,0.48323857081237614,0.12109638345520389,1.2457379679575133,3.9935555555555555,0.4977530457911968,0.0,MM1,81
4.0,1,8.0,1,-1,5000.0,500.0,17773,17771,0,0.9789895065723958,0.491945407639666,0.12455481520912995,1.247863073323861,3.9491111111111112,0.48704409893273,0.0,MM1,82
4.0,1,8.0,1,-1,5000.0,500.0,18013,18012,0,1.0285489136602668,0.5265454568747193,0.1315406177039696,1.2569486317621794,4.002666666666666,0.5020034567855476,0.0,MM1,83
4.0,1,8.0,1,-1,5000.0,500.0,18291,18291,0,1.0254772299763288,0.5188397976033723,0.1276463336731275,1.2522906093102333,4.064666666666667,0.5066374323729567,0.0,MM1,84
4.0,1,8.0,1,-1,5000.0,500.0,18000,18000,0,0.9817038402262344,0.4816686223022345,0.12041715557555863,1.245425960056555,4.0,0.5000352179239999,0.0,MM1,85
4.0,1,8.0,1,-1,5000.0,500.0,17782,17781,0,0.9366942693676873,0.4525321548832407,0.11452644378688394,1.2370576040194459,3.9513333333333334,0.48416211448444657,0.0,MM1,86
4.0,1,8.0,1,-1,5000.0,500.0,17905,17904,0,1.0306971165361727,0.5277298831215467,0.13263988349234584,1.2590551220804382,3.978666666666667,0.5029672334146261,0.0,MM1,87
4.0,1,8.0,1,-1,5000.0,500.0,18222,18222,0,1.0264535527258527,0.5167630603755745,0.12762429933864305,1.2534929341628547,4.049333333333333,0.5096904923502783,0.0,MM1,88
4.0,1,8.0,1,-1,5000.0,500.0,18180,18179,0,0.9953440077730906,0.4895750557087117,0.12118861052253713,1.246383395687083,4.039777777777778,0.5057689520643789,0.0,MM1,89
4.0,1,8.0,1,-1,5000.0,500.0,17984,17983,0,0.9925794700692774,0.49051461788717954,0.12269325447843692,1.2483391047712507,3.9962222222222223,0.5020648521820977,0.0,MM1,90
4.0,1,8.0,1,-1,5000.0,500.0,18110,18110,0,1.0166963149836978,0.5121675763534697,0.1272641686135071,1.2526302273565273,4.024444444444445,0.5045287386302282,0.0,MM1,91
4.0,1,8.0,1,-1,5000.0,500.0,17871,17872,0,0.967986464908712,0.47399587690667916,0.11935169084840945,1.2437406815547636,3.9715555555555557,0.49399058800203277,0.0,MM1,92
4.0,1,8.0,1,-1,5000.0,500.0,18108,18105,0,1.0421717229682863,0.5371417681144914,0.13349665663119945,1.259013689720442,4.023333333333333,0.5050299548537949,0.0,MM1,93
4.0,1,8.0,1,-1,5000.0,500.0,17681,17681,0,0.9678677686952918,0.47812956366464743,0.12168899024325057,1.2463325015060749,3.929111111111111,0.4897382050306446,0.0,MM1,94
4.0,1,8.0,1,-1,5000.0,500.0,17996,17996,0,1.0081515758016444,0.507162872421928,0.12681890008327829,1.2520939148203791,3.999111111111111,0.5009887033797166,0.0,MM1,95
4.0,1,8.0,1,-1,5000.0,500.0,18157,18155,0,1.0277801481281776,0.5223452217126985,0.12946543853708364,1.2547433680379667,4.0344444444444445,0.5054349264154793,0.0,MM1,96
4.0,1,8.0,1,-1,5000.0,500.0,17984,17984,0,1.0216804111118165,0.5223772350117911,0.13071049586037922,1.255647344862278,3.9964444444444442,0.49930317610002534,0.0,MM1,97
4.0,1,8.0,1,-1,5000.0,500.0,18172,18173,0,0.9802538394131427,0.4836107587274661,0.11974913649448604,1.2427413441405122,4.038444444444444,0.4966430806856767,0.0,MM1,98
4.0,1,8.0,1,-1,5000.0,500.0,17808,17809,0,0.9733012316022401,0.4804966454353455,0.12142226523885273,1.2459551380765506,3.9575555555555555,0.4928045861668947,0.0,MM1,99
6.0,1,8.0,1,-1,5000.0,500.0,27228,27225,0,3.2680805640125565,2.5063824994330717,0.4142413114539371,1.5401415280534265,6.05,0.7616980645794535,0.0,MM1,0
6.0,1,8.0,1,-1,5000.0,500.0,26981,26979,0,3.1154533709362684,2.36551791499374,0.3945596577613817,1.5196367305549032,5.995333333333333,0.7499354559425169,0.0,MM1,1
6.0,1,8.0,1,-1,5000.0,500.0,26923,26921,0,2.874467694895121,2.13105616349266,0.356204746584397,1.4804736429198562,5.982444444444444,0.7434115314024768,0.0,MM1,2
6.0,1,8.0,1,-1,5000.0,500.0,26982,26982,0,3.064947608900195,2.310857325546406,0.3854123897718608,1.5111770058309215,5.996,0.7540902833537813,0.0,MM1,3
6.0,1,8.0,1,-1,5000.0,500.0,27066,27066,0,3.5622094847552543,2.8003405969246247,0.4655803485892491,1.5922466101976989,6.014666666666667,0.7618688878306373,0.0,MM1,4
6.0,1,8.0,1,-1,5000.0,500.0,26917,26915,0,3.006931075352525,2.2617923246143223,0.3781519285617682,1.5027313727861447,5.981111111111111,0.7451387507381568,0.0,MM1,5
6.0,1,8.0,1,-1,5000.0,500.0,27005,27002,0,3.020337249906157,2.268139084052658,0.37795148891332736,1.5032909372731085,6.000444444444445,0.7521981658535032,0.0,MM1,6
6.0,1,8.0,1,-1,5000.0,500.0,26903,26902,0,2.897551127868748,2.152966352351728,0.36013488162897844,1.4846834125721877,5.9782222222222225,0.7445847755170429,0.0,MM1,7
6.0,1,8.0,1,-1,5000.0,500.0,27206,27210,0,3.4487083972411727,2.6869873040640937,0.444415008217425,1.5703890252199475,6.046666666666667,0.761721093177124,0.0,MM1,8
6.0,1,8.0,1,-1,5000.0,500.0,26897,26888,0,2.9624451144987933,2.2127160706765556,0.37020116189920793,1.495675278801723,5.9751111111111115,0.7497290438222733,0.0,MM1,9
6.0,1,8.0,1,-1,5000.0,500.0,26991,26998,0,3.0979384953933113,2.338096097863816,0.3899158408166251,1.5165663800100055,5.999555555555555,0.7598423975294648,0.0,MM1,10
6.0,1,8.0,1,-1,5000.0,500.0,26903,26905,0,2.9507176832519657,2.2141596120495044,0.3703431889912846,1.4935457784353419,5.978888888888889,0.7365580712024558,0.0,MM1,11
6.0,1,8.0,1,-1,5000.0,500.0,26943,26944,0,3.117753868176703,2.3628106813696017,0.3945932711632768,1.5206854469375988,5.987555555555556,0.7549431868070637,0.0,MM1,12
6.0,1,8.0,1,-1,5000.0,500.0,27239,27240,0,3.3126756388953145,2.548169326126202,0.4209617134215814,1.5472557688206354,6.053333333333334,0.7645063127691036,0.0,MM1,13
6.0,1,8.0,1,-1,5000.0,500.0,26997,26977,0,3.13603891203193,2.3840054616312787,0.3966413023261179,1.5220870152603267,5.994888888888889,0.7520334504006695,0.0,MM1,14
