lambda,mu,servers,capacity,simulation_time,warmup_time,arrivals,departures,dropped,avg_n_system,avg_n_queue,avg_wait_queue,avg_response_time,throughput,utilization,drop_probability,scenario,replication
4.0,8.0,1,4,1000.0,100.0,3596,3500,98,0.8358908504640425,0.3500375519970012,0.09022304749524382,1.2151609561670333,3.888888888888889,0.48585329846704134,0.027252502780867632,MM1K4,0
4.0,8.0,1,4,1000.0,100.0,3472,3368,103,0.781388966273471,0.3175693423245742,0.08485738262424768,1.2087819120705938,3.7422222222222223,0.4638196239488967,0.02966589861751152,MM1K4,1
4.0,8.0,1,4,1000.0,100.0,3568,3426,143,0.8527501637027102,0.3667703415612497,0.09636789969631361,1.224087507564361,3.8066666666666666,0.4859798221414605,0.04007847533632287,MM1K4,2
6.0,8.0,1,4,1000.0,100.0,5420,4856,563,1.470241911961745,0.7902570971510439,0.14646445375534173,1.2724855202608234,5.395555555555555,0.6799848148107008,0.10387453874538745,MM1K4,0
6.0,8.0,1,4,1000.0,100.0,5461,4907,553,1.4244666186511905,0.7552299094161116,0.13841668416191785,1.2611394630167034,5.452222222222222,0.6692367092350824,0.1012635048525911,MM1K4,1
6.0,8.0,1,4,1000.0,100.0,5302,4765,537,1.3978925199712025,0.730628218802994,0.1379990339816778,1.2640403837474883,5.294444444444444,0.6672643011682043,0.10128253489249339,MM1K4,2
8.0,8.0,1,4,1000.0,100.0,7171,5740,1434,1.9900372292941535,1.191839328486178,0.18688822975797068,1.3120560395006213,6.377777777777778,0.7981979008079909,0.19997210988704503,MM1K4,0
8.0,8.0,1,4,1000.0,100.0,7141,5862,1280,1.9794829486422367,1.1786660181786166,0.18096202940306272,1.3039185836722933,6.513333333333334,0.8008169304636161,0.17924660411707044,MM1K4,1
8.0,8.0,1,4,1000.0,100.0,7271,5832,1440,2.007938715467229,1.199588139906877,0.1852361628032284,1.310021580203816,6.48,0.8083505755603521,0.19804703617109062,MM1K4,2
12.0,8.0,1,4,1000.0,100.0,10849,6639,4209,2.779882795791519,1.8527732647463346,0.2509453012587087,1.376628806745584,7.376666666666667,0.927109531045196,0.3879620241496912,MM1K4,0
12.0,8.0,1,4,1000.0,100.0,10835,6604,4234,2.78072278335374,1.8547387073789023,0.25277799787461,1.378984590678453,7.337777777777778,0.9259840759748352,0.3907706506691278,MM1K4,1
12.0,8.0,1,4,1000.0,100.0,10790,6549,4240,2.8229774323747066,1.890627315650824,0.259814265209904,1.3879297385233733,7.276666666666666,0.9323501167238967,0.39295644114921224,MM1K4,2
4.0,8.0,1,8,1000.0,100.0,3566,3562,4,0.9633628269179626,0.4703425714861536,0.11884006578819153,1.2434100348753947,3.957777777777778,0.493020255431809,0.0011217049915872126,MM1K8,0
4.0,8.0,1,8,1000.0,100.0,3373,3373,0,0.8815158454591776,0.4166909801445728,0.11118348121260466,1.235210275989698,3.747777777777778,0.4648248653146048,0.0,MM1K8,1
4.0,8.0,1,8,1000.0,100.0,3587,3581,5,0.9508720935264275,0.4583981961767199,0.11517888457163364,1.2389367538750047,3.9788888888888887,0.4924738973497077,0.0013939224979091162,MM1K8,2
6.0,8.0,1,8,1000.0,100.0,5451,5324,125,2.24306143201083,1.5068252098109467,0.25456281843545275,1.3790289388220407,5.915555555555556,0.7362362221998785,0.02293157218858925,MM1K8,0
6.0,8.0,1,8,1000.0,100.0,5365,5227,139,2.265185438782517,1.5327648503082,0.26396488937520896,1.3900945658341646,5.807777777777778,0.7324205884743191,0.02590866728797763,MM1K8,1
6.0,8.0,1,8,1000.0,100.0,5437,5282,154,2.2352604328293233,1.5077660405755113,0.25690826136273376,1.3808657107270432,5.868888888888889,0.7274943922538131,0.028324443627000186,MM1K8,2
8.0,8.0,1,8,1000.0,100.0,7199,6513,692,3.9059823419664146,3.0214849604116067,0.417847154635781,1.5400830568478876,7.236666666666666,0.8844973815548104,0.09612446173079595,MM1K8,0
8.0,8.0,1,8,1000.0,100.0,7185,6377,811,3.965570803564847,3.0792998730138255,0.43467742542555293,1.559762777976735,7.085555555555556,0.8862709305510243,0.11287404314544189,MM1K8,1
